"",1.66096404744368,H,が良い,が悪い,が良いです,は高いです,は最高です,も良い,もよく,は満足です,は良いと,は素晴らしいです
質感,○,2.90346518960165,4,1,0,2,4,6,2,1,4,1
機能,○,2.84237099317711,3,1,0,1,2,1,0,2,1,3
画質,○,2.80623491078317,24,12,0,0,7,10,11,7,19,4
写り,○,2.79185835256748,4,2,0,0,4,2,1,2,5,1
操作性,○,2.6597588675847,4,6,0,1,1,8,5,2,10,0
ホールド感,○,2.52321967233551,3,5,0,1,0,1,5,1,4,0
携帯性,○,2.47518789001652,6,3,0,0,1,1,6,2,12,1
コストパフォーマンス,○,2.47374943975523,5,0,0,4,9,0,1,1,8,3
画像,○,2.32192809488736,1,1,0,0,1,1,1,0,0,0
レンズ,○,2.25162916738782,1,1,0,1,0,1,0,0,2,0
解像度,○,2.25162916738782,1,1,0,2,0,1,1,0,0,0
液晶,○,2.25162916738782,1,0,0,0,1,0,0,1,2,1
性能,○,2.24643934467102,2,0,0,1,0,0,0,2,3,2
使い勝手,○,2.21626435941014,17,7,0,0,2,1,4,1,5,0
バランス,○,2.01621624161592,14,6,0,0,0,1,5,0,8,0
描写,○,2.0,0,0,0,1,1,1,0,1,0,0
ズーム,○,2.0,1,0,0,0,1,0,0,1,0,1
精度,○,1.95021206491475,2,2,0,1,0,0,0,0,2,0
色合い,○,1.92192809488736,0,0,0,0,1,1,2,0,1,0
AF精度,○,1.92192809488736,0,2,0,1,0,0,1,0,0,1
色,○,1.92192809488736,1,2,0,0,0,1,0,0,1,0
感触,○,1.91829583405449,2,0,0,0,0,2,1,0,1,0
操作感,○,1.91829583405449,1,0,0,0,0,2,2,0,1,0
デザイン,○,1.84072577086512,7,0,0,0,2,2,1,0,11,0
機能性,○,1.79248125036058,0,0,0,0,1,0,0,1,3,1
AF,×,1.58496250072116,1,1,0,1,0,0,0,0,0,0
ホールド,×,1.58496250072116,1,0,0,0,0,0,1,0,1,0
表現力,×,1.58496250072116,0,0,0,0,1,1,0,0,1,0
解像感,×,1.58496250072116,0,1,0,0,0,0,1,0,1,0
良さ,×,1.58496250072116,0,0,0,0,1,0,0,1,0,1
見え方,×,1.58496250072116,0,0,0,0,0,0,1,0,1,1
機動性,×,1.58496250072116,0,0,0,1,1,0,0,0,1,0
レスポンス,×,1.53063906222957,8,6,0,0,0,1,0,0,1,0
反応,×,1.52192809488736,0,2,0,0,0,0,1,0,2,0
・画質,×,1.5,2,1,0,0,0,1,0,0,0,0
機種,×,1.5,1,0,0,0,0,0,0,1,2,0
グリップ感,×,1.5,1,1,0,0,0,2,0,0,0,0
組み合わせ,×,1.5,1,0,0,0,2,0,0,0,1,0
ボケ,×,1.5,1,0,0,0,2,1,0,0,0,0
評価,×,1.5,0,0,0,2,1,0,0,0,1,0
相性,×,1.5,2,0,0,0,1,0,0,0,1,0
バッテリー,×,1.5,1,0,0,0,0,0,0,0,1,2
持ち,×,1.46189748186009,22,30,0,0,1,0,0,0,6,0
感じ,×,1.37878349348618,4,0,0,0,2,0,0,0,1,0
発色,×,1.37095059445467,0,2,0,0,2,0,6,0,0,0
汎用性,×,1.0,1,0,0,0,0,1,0,0,0,0
写真,×,1.0,0,0,0,0,1,0,0,0,1,0
操作,×,1.0,0,0,0,0,0,0,0,1,1,0
重さ,×,1.0,3,0,0,0,0,3,0,0,0,0
電池持ち,×,1.0,0,0,0,0,0,1,1,0,0,0
価格,×,1.0,0,0,0,1,0,1,0,0,0,0
結果,×,1.0,0,0,0,0,0,0,0,2,0,2
ハンドリング,×,1.0,1,1,0,0,0,0,0,0,0,0
造り,×,1.0,1,0,0,0,0,1,0,0,0,0
映り,×,1.0,0,1,0,0,0,0,0,1,0,0
高感度画質,×,1.0,1,0,0,0,0,0,0,0,1,0
設定,×,1.0,1,0,0,0,0,1,0,0,0,0
バッテリー持ち,×,1.0,1,0,0,0,0,0,0,1,0,0
ホワイトバランス,×,1.0,1,0,0,0,0,1,0,0,0,0
調子,×,1.0,0,1,0,0,0,1,0,0,0,0
ぼけ具合,×,1.0,0,0,0,0,1,1,0,0,0,0
見栄え,×,1.0,1,0,0,0,0,0,0,0,1,0
表現,×,1.0,0,0,0,0,1,0,0,0,1,0
見え,×,1.0,1,1,0,0,0,0,0,0,0,0
フィーリング,×,1.0,0,1,0,0,0,1,0,0,0,0
製品,×,1.0,1,0,0,0,0,0,0,0,1,0
絵,×,1.0,1,0,0,0,1,0,0,0,0,0
カメラ,×,1.0,0,0,0,0,0,0,0,0,1,1
グリップ,×,1.0,1,0,0,0,0,1,0,0,0,0
補正,×,1.0,0,0,0,1,0,0,0,0,1,0
再現性,×,1.0,0,0,0,0,0,0,1,0,1,0
評判,×,1.0,1,0,0,0,0,1,0,0,0,0
フラッシュ,×,1.0,1,0,0,0,0,0,0,0,1,0
自分,×,1.0,1,0,0,0,0,0,0,0,1,0
描写力,×,1.0,0,0,0,0,0,0,0,0,1,1
5倍ズーム,×,1.0,0,0,0,0,1,0,0,0,1,0
もち,×,0.986426728730842,1,7,0,0,0,0,0,0,1,0
条件,×,0.91829583405449,1,2,0,0,0,0,0,0,0,0
追従性,×,0.91829583405449,0,0,0,0,0,0,2,0,1,0
ファインダー,×,0.91829583405449,0,0,0,0,0,1,0,0,2,0
ホールド性,×,0.91829583405449,1,2,0,0,0,0,0,0,0,0
CP,×,0.91829583405449,2,0,0,1,0,0,0,0,0,0
サイズ,×,0.91829583405449,1,0,0,0,2,0,0,0,0,0
質,×,0.91829583405449,0,2,0,1,0,0,0,0,0,0
ボケ味,×,0.91829583405449,0,0,0,0,1,0,0,0,0,2
視認性,×,0.91829583405449,2,1,0,0,0,0,0,0,0,0
目,×,0.91829583405449,1,2,0,0,0,0,0,0,0,0
色乗り,×,0.811278124459133,1,0,0,0,0,0,3,0,0,0
他,×,0.811278124459133,0,0,0,0,0,0,0,3,0,1
辺,×,0.811278124459133,0,0,0,0,0,0,0,1,3,0
位置,×,0.650022421648354,0,5,0,0,0,0,1,0,0,0
色のり,×,0.591672778582327,0,0,0,0,0,0,6,0,1,0
満足感,×,0.591672778582327,0,0,0,6,1,0,0,0,0,0
満足度,×,0.252530771516139,0,0,0,68,3,0,0,0,0,0
アイディア,×,-0.0,0,0,0,0,0,0,0,0,1,0
縦グリ,×,-0.0,1,0,0,0,0,0,0,0,0,0
ライブビュー,×,-0.0,1,0,0,0,0,0,0,0,0,0
2)バッテリー,×,-0.0,1,0,0,0,0,0,0,0,0,0
出来,×,-0.0,1,0,0,0,0,0,0,0,0,0
肌触り感,×,-0.0,1,0,0,0,0,0,0,0,0,0
「水族館」,×,-0.0,1,0,0,0,0,0,0,0,0,0
PF,×,-0.0,1,0,0,0,0,0,0,0,0,0
135mm近辺,×,-0.0,1,0,0,0,0,0,0,0,0,0
濃さ,×,-0.0,1,0,0,0,0,0,0,0,0,0
部分,×,-0.0,1,0,0,0,0,0,0,0,0,0
音質,×,-0.0,1,0,0,0,0,0,0,0,0,0
光,×,-0.0,2,0,0,0,0,0,0,0,0,0
0付近,×,-0.0,1,0,0,0,0,0,0,0,0,0
コストメリット,×,-0.0,1,0,0,0,0,0,0,0,0,0
フロントキャップ,×,-0.0,1,0,0,0,0,0,0,0,0,0
価格設定,×,-0.0,1,0,0,0,0,0,0,0,0,0
マッチング,×,-0.0,1,0,0,0,0,0,0,0,0,0
20mm,×,-0.0,1,0,0,0,0,0,0,0,0,0
DA21mm,×,-0.0,1,0,0,0,0,0,0,0,0,0
ボリューム感,×,-0.0,1,0,0,0,0,0,0,0,0,0
中央,×,-0.0,1,0,0,0,0,0,0,0,0,0
子供,×,-0.0,1,0,0,0,0,0,0,0,0,0
16-45mmf4,×,-0.0,1,0,0,0,0,0,0,0,0,0
・描写,×,-0.0,1,0,0,0,0,0,0,0,0,0
重い,×,-0.0,1,0,0,0,0,0,0,0,0,0
持ち運び,×,-0.0,1,0,0,0,0,0,0,0,0,0
キレ,×,-0.0,1,0,0,0,0,0,0,0,0,0
が,×,-0.0,1,0,0,0,0,0,0,0,0,0
(色調・解像度),×,-0.0,1,0,0,0,0,0,0,0,0,0
・操作性,×,-0.0,3,0,0,0,0,0,0,0,0,0
重量感,×,-0.0,1,0,0,0,0,0,0,0,0,0
出番,×,-0.0,1,0,0,0,0,0,0,0,0,0
作り,×,-0.0,1,0,0,0,0,0,0,0,0,0
・レンズ,×,-0.0,1,0,0,0,0,0,0,0,0,0
無い,×,-0.0,1,0,0,0,0,0,0,0,0,0
アルミ・ボディ,×,-0.0,1,0,0,0,0,0,0,0,0,0
ADJボタン,×,-0.0,1,0,0,0,0,0,0,0,0,0
まとまり,×,-0.0,1,0,0,0,0,0,0,0,0,0
2点,×,-0.0,1,0,0,0,0,0,0,0,0,0
1)機動性,×,-0.0,1,0,0,0,0,0,0,0,0,0
3)コストパフォーマンス,×,-0.0,1,0,0,0,0,0,0,0,0,0
売れ行き,×,-0.0,0,1,0,0,0,0,0,0,0,0
掛かり,×,-0.0,0,1,0,0,0,0,0,0,0,0
リング,×,-0.0,1,0,0,0,0,0,0,0,0,0
付属ソフト,×,-0.0,0,1,0,0,0,0,0,0,0,0
グリップ性,×,-0.0,1,0,0,0,0,0,0,0,0,0
記述,×,-0.0,0,1,0,0,0,0,0,0,0,0
ボタン位置,×,-0.0,0,1,0,0,0,0,0,0,0,0
修正,×,-0.0,1,0,0,0,0,0,0,0,0,0
感度,×,-0.0,0,2,0,0,0,0,0,0,0,0
・デザイン,×,-0.0,2,0,0,0,0,0,0,0,0,0
3．ホールド感,×,-0.0,2,0,0,0,0,0,0,0,0,0
音,×,-0.0,0,1,0,0,0,0,0,0,0,0
半押し,×,-0.0,0,1,0,0,0,0,0,0,0,0
コントラスト,×,-0.0,1,0,0,0,0,0,0,0,0,0
背面液晶,×,-0.0,0,1,0,0,0,0,0,0,0,0
取り付け位置,×,-0.0,0,1,0,0,0,0,0,0,0,0
構造,×,-0.0,0,1,0,0,0,0,0,0,0,0
応答性,×,-0.0,0,1,0,0,0,0,0,0,0,0
よい,×,-0.0,0,1,0,0,0,0,0,0,0,0
指,×,-0.0,1,0,0,0,0,0,0,0,0,0
電力事情,×,-0.0,0,1,0,0,0,0,0,0,0,0
全長,×,-0.0,0,1,0,0,0,0,0,0,0,0
(?),×,-0.0,0,1,0,0,0,0,0,0,0,0
モチ,×,-0.0,0,1,0,0,0,0,0,0,0,0
収納性,×,-0.0,0,1,0,0,0,0,0,0,0,0
ライン,×,-0.0,0,1,0,0,0,0,0,0,0,0
画像編集メニュー,×,-0.0,1,0,0,0,0,0,0,0,0,0
都合,×,-0.0,0,1,0,0,0,0,0,0,0,0
D80,×,-0.0,1,0,0,0,0,0,0,0,0,0
(視力,×,-0.0,0,1,0,0,0,0,0,0,0,0
始末,×,-0.0,0,1,0,0,0,0,0,0,0,0
(9)携帯性,×,-0.0,0,1,0,0,0,0,0,0,0,0
工作精度,×,-0.0,0,1,0,0,0,0,0,0,0,0
製造品質,×,-0.0,0,1,0,0,0,0,0,0,0,0
重量バランス,×,-0.0,0,1,0,0,0,0,0,0,0,0
品質,×,-0.0,0,1,0,0,0,0,0,0,0,0
少し分,×,-0.0,0,1,0,0,0,0,0,0,0,0
合わせ,×,-0.0,0,1,0,0,0,0,0,0,0,0
立て付け,×,-0.0,0,1,0,0,0,0,0,0,0,0
気分,×,-0.0,0,1,0,0,0,0,0,0,0,0
態度,×,-0.0,0,1,0,0,0,0,0,0,0,0
①操作性,×,-0.0,0,1,0,0,0,0,0,0,0,0
皆さん,×,-0.0,1,0,0,0,0,0,0,0,0,0
レンズ性能,×,-0.0,1,0,0,0,0,0,0,0,0,0
完成度,×,-0.0,0,0,0,3,0,0,0,0,0,0
5．マクロ性能,×,-0.0,1,0,0,0,0,0,0,0,0,0
個人的満足度,×,-0.0,0,0,0,1,0,0,0,0,0,0
お買い得感,×,-0.0,0,0,0,2,0,0,0,0,0,0
亮780,×,-0.0,0,0,0,1,0,0,0,0,0,0
平均点,×,-0.0,0,0,0,1,0,0,0,0,0,0
(本質),×,-0.0,0,0,0,1,0,0,0,0,0,0
頻度,×,-0.0,0,0,0,1,0,0,0,0,0,0
200円,×,-0.0,0,0,0,1,0,0,0,0,0,0
クオリティ,×,-0.0,0,0,0,2,0,0,0,0,0,0
検出能力,×,-0.0,0,0,0,1,0,0,0,0,0,0
所有満足度,×,-0.0,0,0,0,1,0,0,0,0,0,0
満足ど,×,-0.0,0,0,0,1,0,0,0,0,0,0
SB‐800,×,-0.0,0,0,0,1,0,0,0,0,0,0
・満足度,×,-0.0,0,0,0,1,0,0,0,0,0,0
第一印象,×,-0.0,0,0,0,1,0,0,0,0,0,0
使用頻度,×,-0.0,0,0,0,2,0,0,0,0,0,0
肌,×,-0.0,1,0,0,0,0,0,0,0,0,0
防止,×,-0.0,0,0,0,1,0,0,0,0,0,0
逆光性能,×,-0.0,0,0,0,1,0,0,0,0,0,0
リスク,×,-0.0,0,0,0,1,0,0,0,0,0,0
工学ズーム,×,-0.0,1,0,0,0,0,0,0,0,0,0
3．防塵防滴性能,×,-0.0,1,0,0,0,0,0,0,0,0,0
Lレンズ,×,-0.0,0,0,0,1,0,0,0,0,0,0
歩留まり,×,-0.0,0,0,0,1,0,0,0,0,0,0
気持ち,×,-0.0,7,0,0,0,0,0,0,0,0,0
比率,×,-0.0,0,0,0,1,0,0,0,0,0,0
信頼感,×,-0.0,0,0,0,1,0,0,0,0,0,0
楽しさ,×,-0.0,0,0,0,1,0,0,0,0,0,0
信頼性,×,-0.0,0,0,0,1,0,0,0,0,0,0
採点,×,-0.0,0,0,0,1,0,0,0,0,0,0
値段,×,-0.0,0,0,0,1,0,0,0,0,0,0
現在,×,-0.0,0,0,0,1,0,0,0,0,0,0
利用頻度,×,-0.0,0,0,0,1,0,0,0,0,0,0
シグマ,×,-0.0,0,0,0,1,0,0,0,0,0,0
信頼度,×,-0.0,0,0,0,1,0,0,0,0,0,0
ハイビジョン画像,×,-0.0,0,0,0,0,1,0,0,0,0,0
魅力,×,-0.0,0,0,0,0,1,0,0,0,0,0
こいつ,×,-0.0,0,0,0,0,1,0,0,0,0,0
10倍ズ−ム,×,-0.0,0,0,0,0,1,0,0,0,0,0
松下ライカレンズ,×,-0.0,0,0,0,0,1,0,0,0,0,0
切れ,×,-0.0,1,0,0,0,0,0,0,0,0,0
設計,×,-0.0,0,0,0,0,1,0,0,0,0,0
冬,×,-0.0,0,0,0,0,1,0,0,0,0,0
糸巻き収差,×,-0.0,0,0,0,0,1,0,0,0,0,0
VR機能,×,-0.0,0,0,0,0,1,0,0,0,0,0
あと,×,-0.0,0,0,0,0,1,0,0,0,0,0
画像処理エンジン,×,-0.0,1,0,0,0,0,0,0,0,0,0
液晶画面,×,-0.0,0,0,0,0,1,0,0,0,0,0
70−300,×,-0.0,0,0,0,0,1,0,0,0,0,0
EVF,×,-0.0,1,0,0,0,0,0,0,0,0,0
ホールド感・ファインダー・シャッター音,×,-0.0,0,0,0,0,1,0,0,0,0,0
D3,×,-0.0,0,0,0,0,2,0,0,0,0,0
間,×,-0.0,0,0,0,0,1,0,0,0,0,0
ない,×,-0.0,1,0,0,0,0,0,0,0,0,0
減点,×,-0.0,0,0,0,0,1,0,0,0,0,0
(Anti-Shake)機能,×,-0.0,0,0,0,0,1,0,0,0,0,0
竭。映り,×,-0.0,1,0,0,0,0,0,0,0,0,0
28mm,×,-0.0,0,0,0,0,1,0,0,0,0,0
968C,×,-0.0,1,0,0,0,0,0,0,0,0,0
ズームレンズ,×,-0.0,0,0,0,0,1,0,0,0,0,0
SR8,×,-0.0,1,0,0,0,0,0,0,0,0,0
FZシリーズ,×,-0.0,1,0,0,0,0,0,0,0,0,0
5コマ,×,-0.0,0,0,0,0,1,0,0,0,0,0
夜景,×,-0.0,0,0,0,0,1,0,0,0,0,0
バリアングル,×,-0.0,0,0,0,0,1,0,0,0,0,0
後,×,-0.0,0,0,0,0,1,0,0,0,0,0
マニュアル操作,×,-0.0,0,0,0,0,1,0,0,0,0,0
形式,×,-0.0,1,0,0,0,0,0,0,0,0,0
F31fd,×,-0.0,0,0,0,0,1,0,0,0,0,0
重くもな,×,-0.0,0,0,0,0,0,1,0,0,0,0
カスタム性,×,-0.0,0,0,0,0,0,1,0,0,0,0
光学ファインダー,×,-0.0,0,0,0,0,0,1,0,0,0,0
FZ8,×,-0.0,0,0,0,0,0,1,0,0,0,0
これから,×,-0.0,0,0,0,0,0,2,0,0,0,0
●液晶,×,-0.0,0,0,0,0,0,1,0,0,0,0
ブルー,×,-0.0,0,0,0,0,0,1,0,0,0,0
14−45,×,-0.0,0,0,0,0,0,1,0,0,0,0
広角画像,×,-0.0,0,0,0,0,0,1,0,0,0,0
シャッター音,×,-0.0,0,0,0,0,0,1,0,0,0,0
メニュー操作,×,-0.0,0,0,0,0,0,1,0,0,0,0
アクティブD-ライティング,×,-0.0,0,0,0,0,0,1,0,0,0,0
シャッターバランサー,×,-0.0,0,0,0,0,0,1,0,0,0,0
対応,×,-0.0,0,0,0,0,0,1,0,0,0,0
モノクロ,×,-0.0,0,0,0,0,0,1,0,0,0,0
色味,×,-0.0,0,0,0,0,0,1,0,0,0,0
5DX,×,-0.0,0,0,0,0,0,1,0,0,0,0
暮れ部手,×,-0.0,0,0,0,0,0,1,0,0,0,0
再現,×,-0.0,0,0,0,0,0,1,0,0,0,0
今後,×,-0.0,0,0,0,0,0,1,0,0,0,0
最短撮影距離,×,-0.0,0,0,0,0,0,1,0,0,0,0
ボケ具合,×,-0.0,0,0,0,0,0,2,0,0,0,0
フットワーク,×,-0.0,1,0,0,0,0,0,0,0,0,0
(視野率・倍率etc.),×,-0.0,0,0,0,0,0,1,0,0,0,0
抜群操作性,×,-0.0,0,0,0,0,0,1,0,0,0,0
高感度撮影,×,-0.0,0,0,0,0,0,1,0,0,0,0
AF性能,×,-0.0,0,0,0,0,0,1,0,0,0,0
1N,×,-0.0,0,0,0,0,0,1,0,0,0,0
色ノリ,×,-0.0,0,0,0,0,0,1,0,0,0,0
剛性感,×,-0.0,0,0,0,0,0,1,0,0,0,0
中身,×,-0.0,0,0,0,0,0,1,0,0,0,0
ディテール,×,-0.0,0,0,0,0,0,1,0,0,0,0
シャッター,×,-0.0,0,0,0,0,0,1,0,0,0,0
・___グリッド表示機能,×,-0.0,0,0,0,0,0,1,0,0,0,0
連写,×,-0.0,0,0,0,0,0,1,0,0,0,0
軽いし画質,×,-0.0,0,0,0,0,0,1,0,0,0,0
S1〜S3,×,-0.0,0,0,0,0,0,1,0,0,0,0
デジタル,×,-0.0,0,0,0,0,0,1,0,0,0,0
フィルム,×,-0.0,0,0,0,0,0,1,0,0,0,0
S8000,×,-0.0,0,0,0,0,0,1,0,0,0,0
・携帯性,×,-0.0,2,0,0,0,0,0,0,0,0,0
カラーナイトビュー,×,-0.0,1,0,0,0,0,0,0,0,0,0
タッチパネル,×,-0.0,0,0,0,0,0,0,1,0,0,0
ピンク,×,-0.0,1,0,0,0,0,0,0,0,0,0
液晶パネル,×,-0.0,1,0,0,0,0,0,0,0,0,0
指触り,×,-0.0,0,0,0,0,0,0,1,0,0,0
ヌケ,×,-0.0,0,0,0,0,0,0,1,0,0,0
データ,×,-0.0,0,0,0,0,0,0,1,0,0,0
見た目質感,×,-0.0,0,0,0,0,0,0,1,0,0,0
問題無しホールド感,×,-0.0,1,0,0,0,0,0,0,0,0,0
外観デザイン,×,-0.0,0,0,0,0,0,0,1,0,0,0
ぼけ味,×,-0.0,0,0,0,0,0,0,1,0,0,0
効果,×,-0.0,0,0,0,0,0,0,1,0,0,0
IS機構,×,-0.0,0,0,0,0,0,0,1,0,0,0
遊び,×,-0.0,0,0,0,0,0,0,1,0,0,0
サウンドレコーダ,×,-0.0,0,0,0,0,0,0,1,0,0,0
ノイズ処理,×,-0.0,0,0,0,0,0,0,1,0,0,0
ホール感,×,-0.0,0,0,0,0,0,0,1,0,0,0
使用感,×,-0.0,0,0,0,0,0,0,0,1,0,0
スタミナバッテリー,×,-0.0,0,0,0,0,0,0,0,1,0,0
ワイヤレスon)操作性,×,-0.0,0,0,0,0,0,0,0,1,0,0
・ホールド感,×,-0.0,1,0,0,0,0,0,0,0,0,0
機能面,×,-0.0,0,0,0,0,0,0,0,1,0,0
ポイント,×,-0.0,0,0,0,0,0,0,0,1,0,0
悪さ,×,-0.0,1,0,0,0,0,0,0,0,0,0
機能性能,×,-0.0,0,0,0,0,0,0,0,1,0,0
当方,×,-0.0,0,0,0,0,0,0,0,1,0,0
プロテクションフィルタ,×,-0.0,0,0,0,0,0,0,0,1,0,0
天気,×,-0.0,2,0,0,0,0,0,0,0,0,0
カラー,×,-0.0,0,0,0,0,0,0,0,1,0,0
画素数,×,-0.0,0,0,0,0,0,0,0,1,0,0
レンズ自体,×,-0.0,0,0,0,0,0,0,0,1,0,0
ズーム域,×,-0.0,0,0,0,0,0,0,0,1,0,0
シャープネス,×,-0.0,0,0,0,0,0,0,0,1,0,0
マクロ撮影,×,-0.0,0,0,0,0,0,0,0,1,0,0
フェイスキャッチ機能,×,-0.0,0,0,0,0,0,0,0,1,0,0
AF速度低下,×,-0.0,0,0,0,0,0,0,0,1,0,0
センス,×,-0.0,1,0,0,0,0,0,0,0,0,0
パンダデザイン,×,-0.0,0,0,0,0,0,0,0,1,0,0
携帯性・操作性・ホールド感,×,-0.0,0,0,0,0,0,0,0,1,0,0
能力,×,-0.0,0,0,0,0,0,0,0,1,0,0
AF速度・精度,×,-0.0,0,0,0,0,0,0,0,1,0,0
全体的,×,-0.0,0,0,0,0,0,0,0,1,0,0
動画機能,×,-0.0,0,0,0,0,0,0,0,0,1,0
静止画,×,-0.0,0,0,0,0,0,0,0,0,1,0
動画画質,×,-0.0,0,0,0,0,0,0,0,0,1,0
一眼,×,-0.0,0,0,0,0,0,0,0,0,1,0
HC7,×,-0.0,0,0,0,0,0,0,0,0,1,0
デザイン上,×,-0.0,0,0,0,0,0,0,0,0,1,0
「望遠」,×,-0.0,0,0,0,0,0,0,0,0,1,0
TZ3,×,-0.0,0,0,0,0,0,0,0,0,1,0
ボタン,×,-0.0,0,0,0,0,0,0,0,0,1,0
望遠,×,-0.0,0,0,0,0,0,0,0,0,1,0
多さ,×,-0.0,0,0,0,0,0,0,0,0,1,0
マクロ,×,-0.0,0,0,0,0,0,0,0,0,1,0
顔検出,×,-0.0,0,0,0,0,0,0,0,0,1,0
認識,×,-0.0,0,0,0,0,0,0,0,0,1,0
CR-V3,×,-0.0,0,0,0,0,0,0,0,0,1,0
外出時,×,-0.0,0,0,0,0,0,0,0,0,1,0
ストラップ,×,-0.0,0,0,0,0,0,0,0,0,1,0
バリオテッサー,×,-0.0,1,0,0,0,0,0,0,0,0,0
風景写真,×,-0.0,0,0,0,0,0,0,0,0,1,0
レンズ内補正,×,-0.0,0,0,0,0,0,0,0,0,1,0
アプローチ,×,-0.0,0,0,0,0,0,0,0,0,1,0
グリップ感・操作性,×,-0.0,0,0,0,0,0,0,0,0,1,0
●画質発色,×,-0.0,0,0,0,0,0,0,0,0,1,0
プラスマイナス,×,-0.0,0,0,0,0,0,0,0,0,1,0
付け根付近,×,-0.0,0,0,0,0,0,0,0,0,1,0
S4,×,-0.0,0,0,0,0,0,0,0,0,1,0
軽さ,×,-0.0,0,0,0,0,0,0,0,0,1,0
パラメーター設定,×,-0.0,0,0,0,0,0,0,0,0,1,0
D200,×,-0.0,0,0,0,0,0,0,0,0,1,0
マニュアルフォーカス,×,-0.0,0,0,0,0,0,0,0,0,1,0
VR18-200,×,-0.0,0,0,0,0,0,0,0,0,1,0
握り心地,×,-0.0,0,0,0,0,0,0,0,0,1,0
18-135mm,×,-0.0,0,0,0,0,0,0,0,0,1,0
ホールド感),×,-0.0,1,0,0,0,0,0,0,0,0,0
サービス,×,-0.0,0,0,0,0,0,0,0,0,1,0
現行モデル,×,-0.0,0,0,0,0,0,0,0,0,1,0
先ず,×,-0.0,0,0,0,0,0,0,0,0,1,0
場合,×,-0.0,0,0,0,0,0,0,0,0,4,0
(FA31Lim,×,-0.0,0,0,0,0,0,0,0,0,1,0
中心付近解像度,×,-0.0,0,0,0,0,0,0,0,0,1,0
直進ズーム,×,-0.0,0,0,0,0,0,0,0,0,1,0
動画,×,-0.0,1,0,0,0,0,0,0,0,0,0
重量,×,-0.0,0,0,0,0,0,0,0,0,1,0
狙い,×,-0.0,0,0,0,0,0,0,0,0,1,0
中央部,×,-0.0,0,0,0,0,0,0,0,0,1,0
A16,×,-0.0,0,0,0,0,0,0,0,0,1,0
シャープさ,×,-0.0,0,0,0,0,0,0,0,0,1,0
人,×,-0.0,0,0,0,0,0,0,0,0,1,0
保護ケース,×,-0.0,0,0,0,0,0,0,0,0,1,0
コンデジ,×,-0.0,0,0,0,0,0,0,0,0,1,0
大きさ,×,-0.0,0,0,0,0,0,0,0,0,1,0
スペア,×,-0.0,0,0,0,0,0,0,0,0,1,0
手軽さ,×,-0.0,0,0,0,0,0,0,0,0,1,0
外観,×,-0.0,0,0,0,0,0,0,0,0,1,0
メニュー画面,×,-0.0,0,0,0,0,0,0,0,0,1,0
音質そのもの,×,-0.0,0,0,0,0,0,0,0,0,1,0
フィット感,×,-0.0,0,0,0,0,0,0,0,0,1,0
電気製品,×,-0.0,0,0,0,0,0,0,0,0,1,0
手ブレ補正,×,-0.0,0,0,0,0,0,0,0,0,1,0
センサークリーニング機構,×,-0.0,0,0,0,0,0,0,0,0,1,0
ノイズ,×,-0.0,0,0,0,0,0,0,0,0,1,0
S5IS,×,-0.0,0,0,0,0,0,0,0,0,1,0
ガッチリ感,×,-0.0,0,0,0,0,0,0,0,0,1,0
画角,×,-0.0,0,0,0,0,0,0,0,0,1,0
AWB,×,-0.0,0,0,0,0,0,0,0,0,1,0
(明るさ),×,-0.0,0,0,0,0,0,0,0,0,1,0
優先AE,×,-0.0,0,0,0,0,0,0,0,0,1,0
雰囲気,×,-0.0,0,0,0,0,0,0,0,0,1,0
W200,×,-0.0,0,0,0,0,0,0,0,0,1,0
顔キレイナビ,×,-0.0,0,0,0,0,0,0,0,0,1,0
取り込み,×,-0.0,0,0,0,0,0,0,0,0,1,0
ザクティシリーズ,×,-0.0,0,0,0,0,0,0,0,0,0,1
映像,×,-0.0,0,0,0,0,0,0,0,0,0,1
マクロ機能自体,×,-0.0,0,0,0,0,0,0,0,0,0,3
シャープ感,×,-0.0,0,0,0,0,0,0,0,0,0,1
GRD,×,-0.0,0,0,0,0,0,0,0,0,0,1
描写性能,×,-0.0,0,0,0,0,0,0,0,0,0,1
調整機能,×,-0.0,0,0,0,0,0,0,0,0,0,1
低ノイズ,×,-0.0,0,0,0,0,0,0,0,0,0,1
「ボケ」,×,-0.0,0,0,0,0,0,0,0,0,0,1
ブレ補正,×,-0.0,0,0,0,0,0,0,0,0,0,1
価値,×,-0.0,0,0,0,0,0,0,0,0,0,1
canon,×,-0.0,0,0,0,0,0,0,0,0,0,1
G7,×,-0.0,0,0,0,0,0,0,0,0,0,1
威力,×,-0.0,0,0,0,0,0,0,0,0,0,1
(!?)性能,×,-0.0,0,0,0,0,0,0,0,0,0,1
解像感・画質等,×,-0.0,0,0,0,0,0,0,0,0,0,1
